"tarifit","nl","en","cefr_oud","woordsoort","cefr_nieuw","thema","zekerheid","tags_nieuw"
"řḥebb","het zaad","the seed","B2","znw","B1","landbouw & veeteelt & visserij","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::land"
"řḥedd (1)","zondag","Sunday","C1","ww","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::tijd"
"řḥedd (2)","de grens","the border","C1","znw","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::sam"
"řḥenni","henna","henna","B2","ww","B2","kleding & sieraad","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::kled"
"řḥeqq","gelijk, recht","right, straight","B2","ww","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eig"
"řḥess","het geluid of lawaai","the sound or noise","B2","znw","A2","overig","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::ov"
"řḥiḏ’","muur","wall","B2","ww","A1","huis & huishouden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::huis"
"ǧem","spinnen","spiders","B1","ww","B1","werk & beroep & ambacht","check","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::werk"
"ǧeqqaḏ","de tang","the pliers","B2","znw","B1","gereedschap & materiaal","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::ger"
"ɛaan","duwen","Push","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ɛaaḏ‘","uitnodigen","to invite","B2","ww","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::sam"
"ɛadi","Gewoon","Just","B1","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"ɛafak","Alstublieft","Please","B2","ww","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::taal"
"ɛafak / cukran","Bedankt","Thank you","A2","ww","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::taal"
"ɛaheḏ / qaweṛ","beloven","promise","B2","ww","A2","taal & school & communicatie","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::taal"
"ɛajib","verbazingwekkend","amazing","B2","ww","B1","eigenschappen & kleuren","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::eig"
"ɛamayen","twee jaar","two years","C1","ww","B1","tijd","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::tijd"
"ɛawen","helpen","to help","B2","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"ɛaweḏ","Herhalen, vertellen, navertellen","Repeat, tell, retell","B2","ww","A2","taal & school & communicatie","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::taal"
"ɛaweḏ (2)","opnieuw","again","C1","ww","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gram"
"ɛayaa","proberen","try","B2","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"ɛbaa","meten, voor de gek houden","to measure, to fool","B1","znw","A2","getallen & hoeveelheid","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::get"
"Ɛbed","aanbidden","worship","B1","ww","B2","religie & leven-dood","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::rel"
"ɛebbez","persen","press","B2","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ɛecra","tien","ten","A1","telw","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::telw tarifit::thema::get"
"ɛemmaa","vol","full","B2","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"ɛemmaas","nooit","never","B2","ww","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::tijd"
"ɛemmeṛ","Invullen","To fill in","B2","ww","A2","taal & school & communicatie","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::taal"
"ɛenti","de tante (vaderszijde)","paternal aunt","A2","znw","A1","familie & mensen","auto","tarifit::cefr::A1 tarifit::woordsoort::znw tarifit::thema::fam"
"ɛess","bewaken, in 't oog houden","to guard, to keep an eye on","B1","ww","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::sam"
"ɛettaa","te laat zijn","be late","B2","ww","A2","tijd","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::tijd"
"ɛeyyeḇ","nabootsen","imitate","B2","ww","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::doen"
"ɛeṣṣeb","Boos","Angry","B2","ww","A1","gevoel & denken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gev"
"ɛfes","stappen op","steps up","B1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ɛgez","lui","lazy","B1","ww","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eig"
"ɛicrin","twintig","twenty","B2","ww","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::get"
"ɛifrit","de demon, het spook","the demon, the ghost","B2","znw","B2","religie & leven-dood","auto","tarifit::cefr::B2 tarifit::woordsoort::znw tarifit::thema::rel"
"ɛizz","geliefd zijn","be loved","B1","ww","B2","gevoel & denken","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::gev"
"ɛqeř","herinneren, herkennen, onthouden","to remember, to recognize","B1","ww","A2","gevoel & denken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gev"
"ɛzizi","de oom (vaderszijde), de oudere broer","paternal uncle, older brother","A2","znw","A1","familie & mensen","auto","tarifit::cefr::A1 tarifit::woordsoort::znw tarifit::thema::fam"
"ɛḏes","niezen","sneezing","B1","ww","A2","lichaam","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::lich"
"ɛḏeř","maken, repareren","make, repair","B1","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"ɛḏu","passeren","pass","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ɛṛahaṛ / ggua","bijna","almost","B1","ww","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gram"
"ɣa","exclamatief partikel ('wat een!')","exclamative particle ('what a!')","B2","ww","B2","functiewoorden","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::gram"
"ɣaa","Naar","Nasty","B2","vz","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::vz tarifit::thema::gram"
"ɣaa (2)","lezen","read","B2","ww","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::taal"
"ɣaaq","verdrinken","drown","B1","ww","B1","gezondheid","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::gez"
"ɣaas / carreg / qqaas","scheuren","cracks","B2","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ɣaaḇeř","zeven of ziften","to sieve or to sift","B2","ww","B2","eten & drinken","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::eten"
"ɣanim","bamboe","bamboo","B2","ww","B1","natuur & weer","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::nat"
"ɣarr","de jaloezie","the jealousy","B1","znw","B1","gevoel & denken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::gev"
"ɣayṯa","Koek","Cake","B2","ww","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eten"
"ɣaḇyuta","de meeuw","the seagull","B2","znw","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::dier"
"ɣennej","zingen","to sing","B2","ww","A1","muziek & kunst","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::muz"
"ɣiř","Arm","Arm","B1","ww","A1","lichaam","check","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::lich"
"ɣmez","knipperen","flashing","B1","ww","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::lich"
"ɣuttis","duiken","to dive","B2","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ɣřeḏ / falta / ɣlet/ ḇuqqaa","Fout","Wrong","B1","ww","A1","overig","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::ov"
"ɣḏaa","verraden","betrayed","B1","ww","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::sam"
"ɣḏes","zinken","to sink","B1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ɣḏeř","laten vallen","drop","B1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ḇaac","knielen","kneel","B1","ww","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::lich"
"ḇaaḏ","poepen","poop","B1","ww","A2","lichaam","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::lich"
"ḇarra","buiten","outside","B2","ww","A1","plaats & richting & geografie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::pl"
"ḇarreḥ","aankondigen","announce","B2","ww","B1","taal & school & communicatie","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::taal"
"ḇayana","de walvis","the whale","B2","znw","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::dier"
"ḇaɣeř","kraai","crow","B2","ww","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::dier"
"ḇaḇa","vader","father","B1","ww","A1","familie & mensen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::fam"
"ḇaḇaɣayyu","de papegaai","the parrot","C1","znw","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::dier"
"ḇecc","plassen","pee","B1","ww","A2","lichaam","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::lich"
"ḇeddeř","veranderen, wisselen","change, change","B2","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"ḇeddu","het begin","the beginning","B2","znw","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::znw tarifit::thema::tijd"
"ḇinu","de wijn","the wine","B1","znw","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::znw tarifit::thema::eten"
"ḇirra","Bier","Beer","B2","ww","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eten"
"ḇna","bouwen","build","B1","ww","A2","huis & huishouden","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::huis"
"ḇnaḏem","de persoon","the person","B2","znw","A1","familie & mensen","auto","tarifit::cefr::A1 tarifit::woordsoort::znw tarifit::thema::fam"
"ḇucceř","de slak","the snail","B2","znw","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::dier"
"ḇuheyyuf","de hongersnood","the famine","C1","znw","B2","samenleving & volken","auto","tarifit::cefr::B2 tarifit::woordsoort::znw tarifit::thema::sam"
"ḇulun","de schroef","the screw","B2","znw","B1","gereedschap & materiaal","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::ger"
"ḇurres","het metselmortel","the masonry mortar","B2","znw","B2","gereedschap & materiaal","auto","tarifit::cefr::B2 tarifit::woordsoort::znw tarifit::thema::ger"
"ḇururu","de darmen","the intestines","B2","znw","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::lich"
"ḇuwaccawen","de hoorn of trompet","the horn or trumpet","C1","znw","B2","muziek & kunst","auto","tarifit::cefr::B2 tarifit::woordsoort::znw tarifit::thema::muz"
"ḇřa","zonder","without","B1","ww","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gram"
"ḇḏa","beginnen, delen","to start, to share","B1","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"ḍazḍaḏ","Mager","Skinny","B2","ww","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eig"
"Ḍuru","0,5 dirham (munt)","0.5 dirham (coin)","B1","ww","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::get"
"ḍḍaa","afstappen, uitstappen","get off, get off","B1","ww","B1","vervoer & reizen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::verv"
"ḍḍiblum","Diploma","Diploma","B2","ww","A2","taal & school & communicatie","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::taal"
"ḍḍrif","Aardig","Nice","B2","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"ḍḏiwana","Douane","Customs","B2","ww","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::sam"
"ḍḏsas","Basis","Basic","B2","ww","A2","overig","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::ov"
"ḏ","en (+ Verbonden Staat)","and (+ Related State)","A1","voegw","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::voegw tarifit::thema::gram"
"ḏa / ḏaniṯa","hier","here","B2","ww","A1","plaats & richting & geografie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::pl"
"ḏaa","Been","Leg","B1","ww","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::lich"
"ḏaa (1)","Voet","Foot","B2","ww","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::lich"
"ḏarr","beschadigen","damage","B1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ḏarrez","weven","to weave","B2","ww","B1","werk & beroep & ambacht","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::werk"
"ḏarreɛ","omhelzen","embrace","B2","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ḏaḏ","vinger","finger","B1","ww","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::lich"
"ḏebbaa / ḥkem","regelen, regeren","to regulate, to govern","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ḏeř","bedekken","cover","B1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ḏeɣya","snel, binnenkort","quickly, soon","B2","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"ḏfaa","volgen, Achtervolgen","to follow, to chase","B1","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"ḏfes","(op)vouwen","to fold","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ḏi","in, door","in, through","B2","vz","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::vz tarifit::thema::gram"
"ḏin","daar","there","B2","ww","A1","plaats & richting & geografie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::pl"
"ḏrus","weinig","little","B1","ww","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::get"
"ḏu / faafaa","vliegen","to fly","B1","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"ḏuṛ","rondlopen","walking around","B1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ḏweř","worden","to become","B1","ww","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gram"
"ḏweř / ɛqeḇ /","terugkomen","come back","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ḏyes ttiḇeṯ","proeven","samples","C2","ww","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eten"
"ḏřem / amaawas","de schuld","the debt","B1","znw_m_ev","A2","handel & geld","check","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::hdl"
"ḏřeq","loslaten","let go","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ḏřeq / fekk","bevrijden, oplossen","liberate, dissolve","B1","ww","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::sam"
"ḏɛef / yaxu","zwak","weak","B1","ww","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eig"
"ḏḥec / ssfianen","lachen, glimlachen","laughing, smiling","B1","ww","A1","gevoel & denken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gev"
"ḏṛuj","Trap","Stairs","B1","ww","A1","huis & huishouden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::huis"
"ḥaac (1)","de mantel","the cloak","C1","znw","B1","kleding & sieraad","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::kled"
"ḥaawec","oprapen","pick up","B2","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ḥaay","vermalen","grind","B1","ww","B2","eten & drinken","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::eten"
"ḥala mḏania / lizḏiyaṯ","Geboorteakte","Birth certificate","C1","ww","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::sam"
"ḥalawit","snoep","sweets","B2","ww","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eten"
"ḥarek / hjem","de aanval","the attack","B1","znw","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::sam"
"ḥarrec","roeren of mengen","stirring or mixing","B2","ww","B1","eten & drinken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::eten"
"ḥarreḇ","waaieren","to fan","B2","ww","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::doen"
"ḥaseb","berispen, straffen","reprimand, punish","B2","ww","B2","taal & school & communicatie","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::taal"
"ḥaweř","voorzichtig zijn","to be careful","B2","ww","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eig"
"ḥayaa","verbaasd","surprised","B2","ww","A2","gevoel & denken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gev"
"ḥayawan / imuddar","Dieren","Animals","B2","ww","A1","dieren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::dier"
"ḥaḏa","aanraken","to touch","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ḥebbe-mluk","Kers","Cherry","C1","ww","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eten"
"ḥedd","begrenzen, iemand","to limit, someone","B2","ww","B2","plaats & richting & geografie","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::pl"
"ḥeddeṯ","prediken","preach","B2","ww","B2","religie & leven-dood","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::rel"
"ḥekk","wrijven","to rub","B1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ḥenna","Grootmoeder","Grandmother","A2","ww","A1","familie & mensen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::fam"
"ḥfaa","graven","to dig","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ḥidɛac","elf","eleven","B2","ww","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::get"
"ḥkem","veroordelen","condemn","B1","ww","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::sam"
"ḥma","warm","warm","B1","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"ḥra","verdienen","earn","B1","ww","A2","handel & geld","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::hdl"
"ḥraq / cmeḏ","Aanbranden","Burning","B1","ww","B1","eten & drinken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::eten"
"ḥsaa","smal","narrow","B1","ww","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eig"
"ḥseb","Rekenen","Calculate","B1","ww","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::get"
"ḥsen","Beter","Better","B1","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"ḥseḇ","tellen","to count","B1","ww","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::get"
"ḥzen","het verdriet","the sadness","B1","znw","A2","gevoel & denken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::gev"
"ḥřuttef","glijden","slide","B2","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ḥḏaa","een oogje in 't zeil houden","keep an eye on things","B1","znw","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::znw tarifit::thema::doen"
"ḥḏaj","de behoefte","the need","B1","znw","A2","gevoel & denken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::gev"
"ḥṛu","slurpen, dik soep eten","slurping, eating thick soup","B1","ww","B2","eten & drinken","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::eten"
"ḵsi","Dragen, nemen, pakken, optillen","Carry, take, grab, lift","B1","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"ṛalla","mevrouw, vrouw paternale oom","madam, paternal uncle's wife","B2","ww","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::taal"
"ṛebḥaṛ","Strand","Beach","B2","ww","A1","natuur & weer","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::nat"
"ṛemṛac","Huwelijk","Wedding","B2","ww","A2","familie & mensen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::fam"
"ṛeqhawi","Cafés","Cafes","B2","ww","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eten"
"ṛeḥṛua / ṛečub","Kruiden","Spices","B2","ww","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eten"
"ṛmaṛyu","Kast","Closet","B2","ww","A1","huis & huishouden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::huis"
"ṛqa","tegen iets aanlopen, spontaan ontmoeten","bumping into something, meeting spontaneously","B1","ww","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::doen"
"ṛqebb","kap (van ǧellaba)","hood (from ǧellaba)","B2","ww","B1","kleding & sieraad","check","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::kled"
"ṛwaḥ","griep","Flu","B1","ww","A2","gezondheid","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gez"
"ṛxeḏini","dan, toen, vervolgens","then, then, then","B2","ww","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gram"
"ṛṛaqem","nummer","number","B2","ww","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::get"
"ṛṛiḏu","Gordijn","Curtain","B2","ww","A2","huis & huishouden","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::huis"
"ṣaḥafi","Journalist","Journalist","B2","ww","A2","werk & beroep & ambacht","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::werk"
"ṣbaḥ lxir","Goedemorgen","Good morning","C1","ww","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::taal"
"ṣṣaa","verzachten, beschermen","soften, protect","B1","ww","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::doen"
"ṣṣaɛeṯ","Klok, uur","Clock, hour","B2","ww","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::tijd"
"ṣṣaḥeṯ","gezondheid","health","B2","ww","A1","gezondheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gez"
"ṣṣaṛf","(terug)wisselgeld","(return) change","B2","ww","A2","handel & geld","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::hdl"
"ṣṣbeṛ","Geduld","Patience","B2","ww","A2","gevoel & denken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gev"
"ṣṣehḏ","hitte","heat","B2","ww","A2","natuur & weer","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::nat"
"ṣṣenɛeṯ","(ambachts)kunst","(craft) art","C1","ww","A2","muziek & kunst","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::muz"
"ṣṣurif","stap","step","B2","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ṣṣuḍeṣ","doen slapen","make you sleep","B2","ww","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::doen"
"ṣṣḍeɛ","Lawaai","Noise","B2","ww","A2","overig","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::ov"
"ṣṣṭupp","verkeerslicht","traffic light","B2","ww","A2","vervoer & reizen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::verv"
"ṭṭajaa","rijke persoon, koopman","rich person, merchant","B2","ww","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::sam"
"ṭṭebṛa","verslaafd zijn","be addicted","B2","ww","B1","gezondheid","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::gez"
"ṭṭeḥqiq","controle","control","B2","ww","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::sam"
